JHSAA SCHOOL AND TOWN NAME CHANGES — the tennis association's mapping
==============================================================================
Generated from quarterback/tennis-team-manager by
scripts/prep_network_name_map.py. Re-run after any rename batch.

WHAT THIS IS. The tennis association (the JHSAA) is built from THIS repo's
institution records, and it renames a lot of them at emit. This repo keeps the
published record under the ORIGINAL names, so the two disagree ON PURPOSE. This
file is the mapping, written down so that anybody reading a record here and
finding a different name in the tennis coverage knows why, and so the eventual
sync has a plain-text reference that does not require reading Python.

IT IS NOT AN INSTRUCTION TO RENAME ANYTHING HERE. The sync is approved but
deferred — see docs/NOTE-tennis-association-name-changes.md. When it is run it
is run by scripts/rename_prep_network.py off the authoritative tables in the
tennis repo, never by hand off this file.

  * SOURCE  — the name in records/orgs/schools.json
  * BECOMES — the name the tennis association uses

==============================================================================
SCHOOLS — 332 renames whose source record is still in this repo
==============================================================================
SOURCE                                        BECOMES                           CLASS CITY
Abraham Lincoln                               Lincoln                           9A    Belyakov
Academy of Arts and Communication             Junction                          7A    Ashbury
Adela Robles                                  Biloxi Heights                    4A    San Borondón
Adela Robles North                            Cliffside                         4A    San Borondón
Adela Villaseñor                              Cape Jean                         7A    Caswell
Ainhoa Mendizabal                             Charles Harbor                    6A    Simmons
Aitor Echevarria                              Point Loma                        9A    Aldecoa
Aitor Zubieta                                 Borough Beach                     8A    Belyakov
Alejandro Zamora                              Morgan Park                       9A    Puerto de los Reyes
Alina Antonov                                 River Oaks                        8A    Orellana
Alina Belov                                   Clear Lake                        3A    Rilland
Alonso Villalba                               Los Feliz                               
Altamonte Civic Leadership Academy            Senator Gray                      8A    Altamonte
Amaia Echevarria                              Redwood Mutual                    9A    Echevarria
Amaia Etxeberria                              Boyle Heights                     8A    Carden City
Amalia Escobedo                               Petoskey Rock                     7A    Belyakov
Amelia Freeman                                Nanticoke                         5A    Port Veles
Ander Arrieta                                 Bolinas                           6A    Weissburg
Andrés Ibarra                                 Monongahela                       7A    Belmonte
Andrés Ibarra North                           Saddleback Central                4A    Belmonte
Andrés Valera North                           Pawnee                            6A    Caswell
Anneliese Ricci                               Carondelet                        9A    Santa Michaela
Annie Springs Crater View                     Crater View                       3A    Annie Springs
Anya Antonov                                  Mar Vista                         9A    San Cordero
Anya Belov                                    Arroyo Water District             4A    Llerena
Anya Belov North                              Preston Hollow                    4A    Llerena
Anya Orlov                                    Riviere Salee                     6A    Belyakov
Archbishop Doyle Prep North                   Doyle Ridge                       6A    Halbrook
Arrieta Treasure Valley                       Canyonlands                       7A    Arrieta
Ashbury Central                               Tallulah Central                  7A    Ashbury
Ashbury Central North                         Kishwaukee                        4A    Ashbury
Ashbury East                                  Alameda                           7A    Ashbury
Ashbury Heights                               Ashbury Central                   9A    Ashbury
Ashbury West                                  Laurel Park                       9A    Ashbury
Aurelia Classical Academy                     Goodman                           6A    Aurelia
Barclay Golden Gate                           Gate City                         5A    Barclay
Basalt Fork                                   Río Salado                        1A    Río Salado
Beatrice Davenport                            Fort Halloran                     4A    Fort Halloran
Beatriz Salcedo                               Spring Branch                     7A    Zubieta
Beatriz Zamora                                Tower Grove                       9A    Serrano
Belden Springs Academy of Music and Media     Springdale                        2A    Belden Springs
Belmonte Collegiate Academy                   Rock on the Hill Christian Academy5A    Belmonte
Belmonte Northwest                            Kokomo                            6A    Belmonte
Belmonte River Plain                          Chillicothe                       8A    Belmonte
Belyakov                                      East Moscow                       8A    Belyakov
Belyakov Agricultural Sciences Academy        Mickey Mantle                     9A    Belyakov
Belyakov Depot High                           Anse Doree                        8A    Belyakov
Belyakov River Plain                          Grand Fond                        5A    Belyakov
Belyakov River Plain North                    Lycee Valmont                     6A    Belyakov
Benjamin Banneker North                       Pascagoula                        5A    Belmonte
Bidwell City                                  Alfalfa City                      1A    Bidwell City
Bidwell County                                County Line                       1A    Huckle Glen
Blackbird Canyon                              Tallulah Canyon                   4A    San Borondón
Blackpine North                               Ravenwood                         4A    Blackpine
Boyerstown North                              Alder Crossing                    7A    Boyerstown
Breakwater                                    Tide Point                        5A    Fort Meriwether
Breakwater North                              Lighthouse                        7A    Fort Meriwether
Buckeye Bend                                  Wyalusing                         4A    Belmonte
Cabo Esperanza Technical Arts Academy         Cabo Esperanza Tech               3A    Cabo Esperanza
Calvary Chapel Ditch Fork                     Cassius                           1A    Ditch Fork
Calvary Chapel Kilbride Switch                Gottschalk-Herman                 1A    Kilbride Switch
Calvary Chapel Olivet                         Banfield Day                      1A    Bracken
Canal View                                    Springfield                       6A    Orellana
Canal View North                              Lateral Seven                     5A    Orellana
Carden City West Bench                        Buckhorn                          4A    Carden City
Carmen Cordero                                Bannock                           9A    Belyakov
Carmen Valera                                 Ferris                            9A    Valderra
Cherry Hill East                              Cherry Hill East                  7A    Caswell
Claudette Cole North                          Pointe Coupee                     5A    San Borondón
Claudette Freeman                             Alder Cooperative                 3A    Monte Blanco
Copper Lake East                              Bridgewater                       6A    Copper Lake
Copper Lake West                              Azurite                           7A    Copper Lake
Costa Verde North                             Verde Highlands                   5A    Bahía Leal
Coyote Draw                                   Savane Brulee                     6A    Belyakov
César Peralta                                 Avalon Park                       8A    Puerto de los Reyes
Daniel Gaines                                 Vicksburg                         7A    San Borondón
Daniel Gaines North                           Tensas                            7A    San Borondón
Depot High                                    Passaic                           4A    Belmonte
Depot High North                              Natchez                           6A    Belmonte
Drayfield Foundry High                        Empire                            5A    Drayfield
Edith Mercer                                  Forest Park                       9A    Serrano
Edith Tillman                                 Norwood Park                      5A    Madrigal
Edith Ward                                    Central West End                  5A    Telfair
Eleanor Cole                                  Jefferson Park                    8A    Fort Carden
Eleanor Tillman                               Anchor Glass                      3A    Las Norias
Elena Mendoza North                           Cahaba                            6A    Belmonte
Elena Petrenko                                Kingsway                          6A    Aurelia
Elena Petrov                                  Talladega                         9A    San Borondón
Elias Mercier                                 Cascade Mutual                    5A    Loomis City
Emigrant Trail                                Trailhead                         5A    Rostova Junction
Emilia Jansen                                 Sharpstown                        4A    San Dámaso
Esteban Téllez                                Sawtelle                          6A    Aldecoa
Featherstone Institute                        Featherstone Tech                 1A    Cook City
Fellows Mill Civic Leadership Academy         Millworks                         4A    Fellows Mill
Ferris Union                                  Union Prairie                     1A    Ferris
Fig Gap                                       Río Verde                         2A    Río Verde
Fort Meriwether Breakwater                    Breakwater                        8A    Fort Meriwether
Fort Meriwether Foundry High                  Ironworks                         6A    Fort Meriwether
Fort Meriwether Foundry High North            Westfield Friends                 4A    Fort Meriwether
Foundry High                                  Foundry                           9A    Lake Esperanza
Frances Gaines                                Empire Milling                    6A    Carroway
Frontier High                                 Frontier                          5A    Harriman
Gabriel Montoya                               Marlow                            4A    St. Varian
Gabriel Zúñiga                                Longfellow                        8A    Lake Esperanza
Galina Romanov                                Stagewater                        9A    Fort Valois
Garazi Aramburu                               Ocean Park                        2A    Lieksa
Garazi Mendizabal                             Cedar Exchange                    5A    Tolland
Garfield Park                                 Reservoir Park                    5A    Drayfield
Greaves Aviation and Engineering Academy      Skypark                           5A    Greaves
Greaves Junction                              Juniper Crossing                  2A    Greaves Junction
Greta Adler                                   Topanga                           7A    Valderra
Greta Bellini                                 Glassell Park                     3A    Silver Glen
Gulch Bend                                    West El Paso                      6A    West El Paso
Gwendolyn Brooks North                        Lakewood                          7A    San Cordero
Halbrook Union                                Prairie Union                     7A    Halbrook
Harlan Cole                                   Harlan                            8A    Santa Cruz del Norte
Harold Calder                                 Tomales Bay                       6A    San Telmo
Harold Tillman                                Copper Belt                       5A    Echevarria
Harold Tillman North                          Echevarria                        5A    Echevarria
Harold Williams                               Tuskegee                          9A    San Borondón
Harriman South                                Hidden Draw                       8A    Harriman
