school,city,classification,conference,area,status
Ashbury Central,Ashbury,6A,Capital City League,Ashbury Metro,existing
Ashbury East,Ashbury,6A,Capital City League,Ashbury Metro,existing
Ashbury Heights,Ashbury,6A,Capital City League,Ashbury Metro,existing
Jefferson School of Science and Technology,Ashbury,6A,Capital City League,Ashbury Metro,existing
Providence Academy,Ashbury,6A,Capital City League,Ashbury Metro,existing
St. Sebastian Prep,Ashbury,6A,Capital City League,Ashbury Metro,existing
Steelbridge,Ashbury,6A,Capital City League,Ashbury Metro,existing
Timberline,Ashbury,6A,Capital City League,Ashbury Metro,existing
Ashbury West,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Lena Talltree,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Mercy Academy,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Metropolitan Country Day School,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
North Fork,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Southridge Christian,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Tubman,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Vista Terrace,Ashbury,6A,Greater Ashbury Conference,Ashbury Metro,existing
Academy of Arts and Communication,Ashbury,6A,Metro Six,Ashbury Metro,existing
Covenant Christian,Ashbury,6A,Metro Six,Ashbury Metro,existing
Pacific Friends School,Ashbury,6A,Metro Six,Ashbury Metro,existing
Mission Terrace,Norview,6A,Overland Conference,Ashbury Metro,existing
Norview,Norview,6A,Overland Conference,Ashbury Metro,existing
Archbishop Doyle Prep,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Halbrook,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Halbrook East,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Halbrook Union,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Northgate,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Northside Christian,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Vasquez,Halbrook,6A,Basin Athletic Conference,Halbrook Basin,existing
Port Meridian West,Port Meridian,6A,Harborline Conference,Harborline,existing
Bell,Port Meridian,6A,Seaboard League,Harborline,existing
Holy Cross,Port Meridian,6A,Seaboard League,Harborline,existing
Port Meridian,Port Meridian,6A,Seaboard League,Harborline,existing
Port Meridian Maritime,Port Meridian,6A,Seaboard League,Harborline,existing
Port Meridian North,Port Meridian,6A,Seaboard League,Harborline,existing
Port Meridian South,Port Meridian,6A,Seaboard League,Harborline,existing
Providence Academy Valley,Port Meridian,6A,Seaboard League,Harborline,existing
Westside Christian,Port Meridian,6A,Seaboard League,Harborline,existing
