school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
Garrow,Garrow,Kernwood,Vermilion Valley,184300,1350,7A,False,city flagship,Almond Blossoms,Vermilion Valley Conference,new
Garrow Southwest,Garrow,Kernwood,Vermilion Valley,184300,1185,6A,False,directional,Canal Diggers,Vermilion Valley Conference,new
Cottonrock Point,Garrow,Kernwood,Vermilion Valley,184300,1182,6A,False,geographic feature,Ditchriders,Vermilion Valley Conference,new
Blackbird Bar,Garrow,Kernwood,Vermilion Valley,184300,937,5A,False,geographic feature,Harvesters,Vermilion Valley Conference,new
Garret Hobart,Garrow,Kernwood,Vermilion Valley,184300,1238,6A,False,president/vice president,Ricebirds,Vermilion Valley Conference,new
Garrow West,Garrow,Kernwood,Vermilion Valley,184300,966,5A,False,directional,Almond Blossoms,Vermilion Valley Conference,new
Jimmy Carter,Garrow,Kernwood,Vermilion Valley,184300,974,5A,False,president/vice president,Threshers,Vermilion Valley Conference,new
Lyndon Johnson,Garrow,Kernwood,Vermilion Valley,184300,1172,6A,False,president/vice president,Canal Diggers,Vermilion Valley Conference,new
Kernwood County Catholic,Garrow,Kernwood,Vermilion Valley,184300,567,4A,True,private/independent,Grangers,Vermilion Valley Conference,new
Kernwood County Christian,Garrow,Kernwood,Vermilion Valley,184300,569,4A,True,private/independent,Canal Diggers,Vermilion Valley Conference,new
Calvary Chapel Kernwood,Garrow,Kernwood,Vermilion Valley,184300,923,5A,True,private/independent,Snow Geese,Vermilion Valley Conference,new
All Saints Episcopal,Garrow,Kernwood,Vermilion Valley,184300,759,4A,True,private/independent,Levee Rats,Vermilion Valley Conference,new
Bishop Ferraro,Garrow,Kernwood,Vermilion Valley,184300,346,2A,True,private/independent,Olive Pickers,Vermilion Valley Conference,new
Presentation Academy,Garrow,Kernwood,Vermilion Valley,184300,677,4A,True,private/independent,Olive Pickers,Vermilion Valley Conference,new
St. Veronica,Garrow,Kernwood,Vermilion Valley,184300,790,4A,True,private/independent,Levee Rats,Vermilion Valley Conference,new
Olive Reach,Olive Reach,Kernwood,Vermilion Valley,72300,1258,6A,False,city flagship,Snow Geese,Vermilion Valley Conference,new
Olive Reach North,Olive Reach,Kernwood,Vermilion Valley,72300,1094,6A,False,president/vice president,Ditchriders,Vermilion Valley Conference,new
Coolidge,Olive Reach,Kernwood,Vermilion Valley,72300,1072,6A,False,president/vice president,Grangers,Vermilion Valley Conference,new
Olive Reach Baptist,Olive Reach,Kernwood,Vermilion Valley,72300,360,3A,True,private/independent,Threshers,Vermilion Valley Conference,new
Trinity Christian,Olive Reach,Kernwood,Vermilion Valley,72300,182,1A,True,private/independent,Ditchriders,Vermilion Valley Conference,new
Kilbride Hall,Olive Reach,Kernwood,Vermilion Valley,72300,150,1A,True,private/independent,Snow Geese,Vermilion Valley Conference,new
Barleyfield,Barleyfield,Kernwood,Vermilion Valley,41800,1192,6A,False,city flagship,Grangers,Vermilion Valley Conference,new
Steelhead Divide,Barleyfield,Kernwood,Vermilion Valley,41800,934,5A,False,geographic feature,Canal Diggers,Vermilion Valley Conference,new
Kernwood Lutheran,Barleyfield,Kernwood,Vermilion Valley,41800,82,1A,True,private/independent,Sandhill Cranes,Vermilion Valley Conference,new
St. Cecilia,Barleyfield,Kernwood,Vermilion Valley,41800,105,1A,True,private/independent,Levee Rats,Vermilion Valley Conference,new
Olive Head,Olive Head,Kernwood,Vermilion Valley,28400,1671,7A,False,city flagship,Ditchriders,Vermilion Valley Conference,new
Kernwood County,Quill,Kernwood,Vermilion Valley,21000,1418,7A,False,county consolidation,Snow Geese,Vermilion Valley Conference,new
St. Dominic,Quill,Kernwood,Vermilion Valley,21000,73,1A,True,private/independent,Sandhill Cranes,Vermilion Valley Conference,new
Corliss Junction,Corliss Junction,Kernwood,Vermilion Valley,16400,1175,6A,False,city flagship,Combines,Vermilion Valley Conference,new
Heritage Christian,Corliss Junction,Kernwood,Vermilion Valley,16400,59,1A,True,private/independent,Ditchriders,Vermilion Valley Conference,new
Tule Flat,Tule Flat,Kernwood,Vermilion Valley,13300,737,4A,False,city flagship,Grangers,Vermilion Valley Conference,new
Tule Flat Lutheran,Tule Flat,Kernwood,Vermilion Valley,13300,58,1A,True,private/independent,Combines,Vermilion Valley Conference,new
Corliss,Corliss,Kernwood,Vermilion Valley,11100,626,4A,False,city flagship,Egrets,Vermilion Valley Conference,new
Jersey City,Jersey City,Kernwood,Vermilion Valley,9500,645,4A,False,city flagship,Combines,Vermilion Valley Conference,new
Chaff Head,Chaff Head,Kernwood,Vermilion Valley,8200,461,3A,False,city flagship,Ditchriders,Vermilion Valley Conference,new
Chaff Crossing,Chaff Crossing,Kernwood,Vermilion Valley,7200,385,3A,False,city flagship,Prune Packers,Vermilion Valley Conference,new
Lanphere,Lanphere,Kernwood,Vermilion Valley,6400,362,3A,False,city flagship,Balers,Vermilion Valley Conference,new
Kilbride Switch,Kilbride Switch,Olivet,Vermilion Valley,83300,1407,7A,False,city flagship,Snow Geese,Olive Belt League,new
Kilbride Switch South,Kilbride Switch,Olivet,Vermilion Valley,83300,997,5A,False,directional,Ditchriders,Olive Belt League,new
Indigo Falls,Kilbride Switch,Olivet,Vermilion Valley,83300,812,5A,False,geographic feature,Levee Rats,Olive Belt League,new
Harry Truman,Kilbride Switch,Olivet,Vermilion Valley,83300,1112,6A,False,president/vice president,Grangers,Olive Belt League,new
Christ the King,Kilbride Switch,Olivet,Vermilion Valley,83300,215,2A,True,private/independent,Canal Diggers,Olive Belt League,new
Calvary Chapel Kilbride Switch,Kilbride Switch,Olivet,Vermilion Valley,83300,253,2A,True,private/independent,Almond Blossoms,Olive Belt League,new
Olivet County,Bracken,Olivet,Vermilion Valley,32700,1815,8A,False,county consolidation,Grangers,Olive Belt League,new
Calvary Chapel Olivet,Bracken,Olivet,Vermilion Valley,32700,133,1A,True,private/independent,Harvesters,Olive Belt League,new
Olivet County Christian,Bracken,Olivet,Vermilion Valley,32700,153,1A,True,private/independent,Balers,Olive Belt League,new
Clover Reach,Clover Reach,Olivet,Vermilion Valley,18900,1303,6A,False,city flagship,Harvesters,Olive Belt League,new
Garrow Switch,Garrow Switch,Olivet,Vermilion Valley,12800,673,4A,False,city flagship,Snow Geese,Olive Belt League,new
