school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
St. Francis Catholic,Los Robles,Marlow,Ashbury Metro,150000,1653,4A,False,namesake,Navigators,Ashbury City Conference,new
Dolores Huerta,Los Robles,Marlow,Ashbury Metro,150000,2465,6A,False,namesake,Railers,Ashbury City Conference,new
Los Robles,Los Robles,Marlow,Ashbury Metro,150000,1646,4A,False,city flagship,Titans,Ashbury City Conference,new
Los Robles Classical School,Los Robles,Marlow,Ashbury Metro,150000,1214,3A,True,private/independent,Foxes,Ashbury City Conference,new
Westover,Los Robles,Marlow,Ashbury Metro,150000,2116,5A,False,district/neighborhood,Vikings,Ashbury City Conference,new
Winifred Davenport,Los Robles,Marlow,Ashbury Metro,150000,1706,4A,False,namesake,Eagles,Ashbury City Conference,new
Elias Mercier,Loomis City,Camas,Ashbury Metro,77668,1398,3A,False,namesake,Timberwolves,Civic League,new
William Howard Taft,Mount Horeb,Marlow,Ashbury Metro,65000,1195,3A,False,namesake,Railers,Civic League,new
Sonia Sotomayor,Mount Horeb,Marlow,Ashbury Metro,65000,1196,3A,False,namesake,Trojans,Civic League,new
Mount Horeb,Mount Horeb,Marlow,Ashbury Metro,65000,1057,3A,False,city flagship,Mustangs,Civic League,new
Mount Horeb Academy of Arts and Letters,Mount Horeb,Marlow,Ashbury Metro,65000,1232,3A,False,magnet/technical,Ravens,Civic League,new
Rye North,Rye,Marlow,Ashbury Metro,63507,1246,3A,False,magnet/technical,Foxes,Civic League,new
Teresa Escobedo,Rye,Marlow,Ashbury Metro,63507,1040,3A,False,namesake,Lancers,Civic League,new
Jean Weiss,Tindall,Camas,Ashbury Metro,60036,1075,3A,False,namesake,Lancers,Civic League,new
Renata Dahl,Tindall,Camas,Ashbury Metro,60036,1086,3A,False,namesake,Railers,Civic League,new
Boyerstown,Boyerstown,Marlow,Ashbury Metro,220000,2804,7A,False,city flagship,Marlins,Commonwealth League,new
Eastgate,Boyerstown,Marlow,Ashbury Metro,220000,3056,7A,False,district/neighborhood,Knights,Commonwealth League,new
Leonard Coleman,Boyerstown,Marlow,Ashbury Metro,220000,2044,5A,False,namesake,Steelheads,Commonwealth League,new
Octavia Butler,Boyerstown,Marlow,Ashbury Metro,220000,2475,6A,False,namesake,Pioneers,Commonwealth League,new
Opal Stokes,Boyerstown,Marlow,Ashbury Metro,220000,3192,7A,False,namesake,Marlins,Commonwealth League,new
Notre Dame,Boyerstown,Marlow,Ashbury Metro,220000,2270,6A,False,namesake,Mavericks,Commonwealth League,new
Beatrice Davenport,Fort Rogue,Marlow,Ashbury Metro,45000,1153,3A,False,namesake,Trojans,Jefferson Capital Conference,new
Fort Rogue,Fort Rogue,Marlow,Ashbury Metro,45000,1203,3A,False,city flagship,Hawks,Jefferson Capital Conference,new
Isabel Ibarra,Fort Rogue,Marlow,Ashbury Metro,45000,884,2A,False,namesake,Eagles,Jefferson Capital Conference,new
Althea Freeman,Los Alisos,Marlow,Ashbury Metro,40000,799,2A,False,namesake,Bison,Jefferson Capital Conference,new
Los Alisos,Los Alisos,Marlow,Ashbury Metro,40000,908,2A,False,city flagship,Panthers,Jefferson Capital Conference,new
Yuri Kochiyama,Los Alisos,Marlow,Ashbury Metro,40000,1173,3A,False,namesake,Firebirds,Jefferson Capital Conference,new
Ida B. Wells,San Joaquín,Marlow,Ashbury Metro,50000,1071,3A,False,namesake,Engineers,Jefferson Capital Conference,new
Naomi Ward,San Joaquín,Marlow,Ashbury Metro,50000,1463,4A,False,namesake,Jaguars,Jefferson Capital Conference,new
San Joaquín,San Joaquín,Marlow,Ashbury Metro,50000,1066,3A,False,city flagship,Panthers,Jefferson Capital Conference,new
Ansotegui Siding North,Ansotegui Siding,Camas,Ashbury Metro,102422,1844,5A,False,district/neighborhood,Pilots,Metropolitan Athletic Conference,new
Copper Lake Academy of Music and Media,Copper Lake,Camas,Ashbury Metro,115495,2079,5A,False,magnet/technical,Pilots,Metropolitan Athletic Conference,new
Hawk Lake Eastgate,Hawk Lake,Camas,Ashbury Metro,86000,1548,4A,False,district/neighborhood,Timberwolves,Metropolitan Athletic Conference,new
Grace Lee Boggs,Norview,Marlow,Ashbury Metro,93588,1408,4A,False,namesake,Railers,Metropolitan Athletic Conference,new
